folder_bucket,path,line_count,review_status,suggested_action,accuracy_risk,duplicate_findings,required_tests_before,required_tests_after
docs,docs/tutorials/duplicate_audit_2026-03-17.md,45,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
docs,docs/tutorials/repo_cleanup_and_style.md,123,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
docs,docs/workflows/inl_workflow.md,17,baseline-captured,keep,medium,none flagged yet,lint + path/reference checks,lint + path/reference checks
docs,docs/workflows/qg_workflow.md,11,baseline-captured,keep,medium,none flagged yet,lint + path/reference checks,lint + path/reference checks
environment.yml,environment.yml,24,baseline-captured,keep,low,none flagged yet,relevant targeted tests,relevant targeted tests
examples,examples/RAFM_irradiation/RAFM_processing_plan.md,239,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/_compare_common.py,35,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/compare_astm_e2005_to_qg.py,284,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/compare_astm_e262_to_qg.py,126,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/compare_astm_e3376_to_qg.py,83,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/compare_astm_to_qg.py,113,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/compare_inl_workflow_to_qg.py,98,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/compare_peak_count_methods.py,1300,baseline-captured,refactor,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/count_parity_llm_handoff.md,350,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/01_background_subtraction_core.md,15,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/02_gamma_spectrum_uncertainty_field.md,15,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/03_negative_bin_hybrid_policy.md,15,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/04_cli_ingest_background_and_overrides.md,19,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/05_loader_override_precedence.md,14,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/06_hpge_pipeline_background_integration.md,15,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/07_flux_wire_pipeline_background_integration.md,15,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/08_rafm_validation_tests.md,18,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/09_user_docs_and_quick_start_updates.md,14,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/100_GUI_Validation_Covariance_Heatmap.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/101_GUI_Pipeline_Irradiation_History_Forms.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/102_GUI_Pipeline_Reaction_Rate_Table.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/103_GUI_Pipeline_Unfold_Solver_Config.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/104_GUI_Batch_Conversion_Summing_UI.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/105_GUI_Export_HTML_PDF_Bundle.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/106_GUI_Packaging_PyInstaller_Release.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/107_ASTM_E844_Dosimetry_Metadata_Models.md,29,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/108_ASTM_E261_Reaction_Rate_Math.md,26,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/109_ASTM_E261_E844_Unit_Tests.md,9,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/10_rafm_25cm_preset_profile.md,17,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/110_ASTM_E261_E844_Workflow_Example.md,9,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/111_IEC61452_Energy_FWHM_Calibration.md,22,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/112_ASTM_E3376_Efficiency_Curve_Fit.md,22,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/113_IEC61452_Corrections_TCS_PileUp.md,18,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/114_TECDOC2026_Facility_Characterization.md,20,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/115_TECDOC2026_Activation_Corrections.md,9,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/116_TECDOC2026_Mass_Fraction_Solver.md,21,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/117_TRS487_Traceability_Provenance_Engine.md,11,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/118_TRS487_Blank_Interference_Correction.md,9,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/11_flux_wire_parity_background_fixture.md,15,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/12_snip_signed_background_estimation.md,16,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/13_full_conda_test_environment.md,16,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/14_rafm4_phase2_whale_timing.md,14,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/15_per_sample_qg_comparison_reports.md,21,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/16_generic_peak_recovery_and_identification.md,18,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/17_uncertainty_propagation_audit.md,19,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/18_measurement_time_activity_parity.md,19,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/19_hpge_profile_low_energy_efficiency.md,19,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/20_sc48_qg_export_inconsistency.md,19,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/21_flux_wire_catalog_data_module.md,20,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/22_data_backed_branching_uncertainty.md,20,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/23_flux_unfold_data_externalization.md,31,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/24_line_level_efficiency_activity_diagnostics.md,33,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/25_qg_internal_consistency_audit.md,20,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/26_peak_area_audit_against_qg_counts.md,17,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/27_rafm25cm_detector_profile_bias.md,23,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/28_crowded_region_isotope_mismatch.md,19,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/29_qg_peak_gross_net_energy_side_by_side.md,22,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/30_flux_wire_raw_count_parity_split.md,21,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/31_flux_wire_gross_count_protocol_gap.md,17,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/32_background_energy_alignment_before_subtraction.md,13,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/33_broad_peak_comparison_roi.md,18,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/34_manual_roi_spectrum_inspection.md,31,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/35_keep_main_rafm_workflow_automatic.md,19,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/36_generic_flux_wire_comparison_window_scoring.md,34,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/37_AA1.11_Minimum_detectable_concentration_calculator.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/37_generic_rafm_count_background_model.md,24,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/38_AA1.12_Analysis_report_bundle___checklist_export.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/39_AA1.13_Instrument_settings_provenance_capture.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/40_AA1.14_Quantitative_discussion_helpers.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/41_AA1.1_Teaching_spectrum_import.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/42_AA1.2_Calibration_source_feature_templates.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/43_AA1.4_Reference_assisted_isotope_identification.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/44_AA1.5_Batch_calibrated_spectrum_plotting.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/45_AA1.6_Comparator_standard_mass_estimation.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/46_AA1.7_Single_element_sample_identity_solver.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/47_AA1.8_Standard_type_classification.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/48_AA1.9_Irradiation___decay___counting_time_planner.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/49_B1.10_Multicomponent_deconvolution.md,9,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/50_B1.11_Library_directed_multiplet_seeding.md,9,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/51_B1.12_Linear_continuum_background.md,9,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/52_B1.13_AI_ML_peak_detection.md,9,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/53_B1.7_Derivative___Top_hat_peak_search.md,9,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/54_B1.8_Quadratic_smoothing.md,9,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/55_B1.9_Dynamic_ROI_sizing.md,9,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/56_C1.10_Zero_count_MDA_reporting.md,9,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/57_C1.9_ROI_directed_operation_mode.md,9,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/58_C10_MCA_acquisition_plugin__future_.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/59_C11_Dose_rate___isotope_ID_workflows.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/60_C12_Gamma_line_synthesis_from_activities.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/61_C13_Cross_section_evaluation_with_covariances.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/62_C14_Expanded_peak_finding_algorithms.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/63_C15_Scintillation_detector_workflows.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/64_C16_ANN_based_NAA_workflow.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/65_C17_Additional_unfolding_libraries.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/66_C18_Guided_instructional_NAA_workflow.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/67_C19_Calibration_wizard_for_standard_sources.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/68_C1_Desktop_GUI_spectrum_viewer__pan_zoom__overlays__ROI_edit_.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/69_C20_Reference_assisted_isotope_ID_workspace.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/70_C21_Comparator_standard_mass_worksheet.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/71_C22_Irradiation___decay___count_time_planner.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/72_C23_MDA_detection_limit_worksheet.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/73_C24_Analysis_checklist___figure_pack_export.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/74_C2_ROI_peak_workflows_with_multiplet_deconvolution.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/75_C3_Energy_efficiency_calibration_UI.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/76_C4_Batch_operations__sum_append_convert__ROI_integration_.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/77_C5_GUI_to_CLI_macro_recorder___project_file.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/78_C6_Interactive_CLI_shell__HDTV_style_.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/79_C7_Config_driven_CLI_tools__Neutron_Spectrometry_style_.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/80_C8_STAYSL_parity_UI_panels__SigPhi_SHIELD_BCF_.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/81_C9_Online_GUI_PWA__Gamma_MCA_style_.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/82_GUI_Core_DearPyGui_App_Loop.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/83_GUI_Core_Thread_Worker_Non_Blocking.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/84_GUI_Core_CLI_Macro_Transcript_Panel.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/85_GUI_Ingest_Project_Workspace_Wizard.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/86_GUI_Ingest_Spectrum_File_Picker.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/87_GUI_Viewer_Base_Canvas_Pan_Zoom.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/88_GUI_Viewer_Multi_Spectrum_Overlay.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/88_generic_targeted_library_selector.md,26,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/89_GUI_Viewer_Interactive_Cursor_Readout.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/90_GUI_Viewer_Selectable_Point_Annotations.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/91_GUI_Viewer_Manual_ROI_Click_Drag.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/92_GUI_Peaks_Search_Configuration_Panel.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/93_GUI_Peaks_Linear_Continuum_UI.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/94_GUI_Peaks_Multiplet_Deconvolution_Plotting.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/95_GUI_Peaks_Results_Data_Grid.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/96_GUI_Calib_Energy_Sliders_Fit_View.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/97_GUI_Calib_Efficiency_Standard_Lines.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/98_GUI_Calib_Resolution_FWHM_Curve.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/issues/99_GUI_Validation_Calculated_Expected_Parity.md,8,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/results/method_benchmark/method_summary.md,38,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/results/tables/flux_wire_count_disagreement_summary.md,41,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/results/validation_summary.md,34,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/results_benchmark_qg_alias_check/method_benchmark/method_summary.md,15,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/run_validation.py,98,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/RAFM_irradiation/test_read_qg.py,1,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/cadmium_cover_correction_example.py,296,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/complete_flux_unfolding.py,754,baseline-captured,refactor,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/complete_flux_wire_workflow.py,427,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/complete_naa_workflow.py,418,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/endf_mf33_covariance_demo.py,86,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/epic_features_demo.py,426,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/flux_wire_unfolding_comparison.py,754,baseline-captured,refactor,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/flux_wire_unfolding_demo.py,516,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/gamma_poisson_rmle_demo.py,89,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/generate_flux_spectrum.py,442,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/generate_plots.py,720,baseline-captured,refactor,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
examples,examples/manual_peak_inspection/README.md,74,baseline-captured,keep,low,none flagged yet,lint + path/reference checks,lint + path/reference checks
